trip_id,route_id,service_id,trip_headsign,block_id,shape_id
542,25,1,Inbound,3081,121
738,8,2,Outbound,7441,7
1808,48,1,Inbound,1081,9
737,8,2,Outbound,7221,7
140,4,1,Inbound,1061,51
705,14,2,Outbound,8271,0
921,43,6,Inbound,5011,133
667,2,2,Inbound,7501,37
513,24,1,Outbound,2551,101
472,19,1,Outbound,1141,2
752,8,2,Inbound,7211,176
756,8,2,Inbound,7151,109
690,6,2,Outbound,8291,74
579,55,1,Outbound,1391,20
519,24,1,Inbound,1441,98
266,8,1,Outbound,1171,158
621,32,1,Outbound,1191,104
569,26,1,Inbound,1281,26
779,11,2,Outbound,7231,69
771,8,2,Inbound,7511,109
56,2,1,Outbound,1191,118
110,4,1,Outbound,3091,36
276,8,1,Outbound,1502,15
78,2,1,Outbound,2661,118
111,4,1,Outbound,1081,36
769,8,2,Inbound,8552,109
861,1,2,Outbound,7541,45
32,1,1,Inbound,1101,40
215,6,1,Inbound,1051,120
316,8,1,Inbound,4171,109
808,55,2,Inbound,7511,3
1790,48,1,Inbound,1461,9
576,27,1,Outbound,4041,138
411,13,1,Inbound,1111,97
585,55,1,Inbound,1261,92
1981,45,1,Inbound,2571,129
708,14,2,Inbound,7431,8
395,13,1,Outbound,3061,79
591,29,1,Outbound,1432,16
1998,56,1,Inbound,2601,50
95,2,1,Inbound,1261,37
364,11,1,Outbound,1301,69
212,6,1,Outbound,2591,117
897,23,1,Outbound,1382,154
662,2,2,Inbound,7401,37
1812,48,1,Inbound,1312,9
653,4,2,Outbound,8611,36
88,2,1,Inbound,1191,37
113,4,1,Outbound,1241,36
61,2,1,Outbound,1231,118
525,25,1,Outbound,1131,27
1979,1,2,Inbound,6011,40
610,32,1,Inbound,1191,66
12,1,1,Outbound,1201,45
785,13,2,Inbound,7401,125
121,4,1,Outbound,1231,36
115,4,1,Outbound,1241,36
768,8,2,Inbound,8551,109
496,20,1,Inbound,2561,134
43,1,1,Inbound,1211,40
229,6,1,Inbound,2611,61
555,26,1,Outbound,1431,53
508,24,1,Outbound,1441,99
399,13,1,Outbound,1171,81
514,24,1,Outbound,1502,101
474,19,1,Outbound,1121,184
796,11,2,Inbound,7401,68
865,1,2,Outbound,8551,45
1818,48,1,Inbound,1452,9
899,23,1,Outbound,1532,155
989,24,1,Outbound,3071,145
792,55,2,Outbound,8291,90
997,7,1,Inbound,1522,124
384,11,1,Inbound,1342,68
237,7,1,Outbound,1051,59
217,6,1,Inbound,1491,85
198,6,1,Outbound,1111,108
408,13,1,Inbound,1041,84
17,1,1,Outbound,2661,45
702,14,2,Outbound,8601,0
822,32,2,Inbound,7171,64
42,1,1,Inbound,1041,40
611,32,1,Inbound,1231,64
713,14,2,Inbound,7541,8
755,8,2,Inbound,7401,109
608,32,1,Inbound,1531,181
753,8,2,Inbound,7401,176
812,5,2,Inbound,7441,4
536,25,1,Outbound,4201,160
414,13,1,Inbound,1151,125
273,8,1,Outbound,1251,24
509,24,1,Outbound,1331,99
789,55,2,Outbound,7531,90
258,7,1,Inbound,1352,96
197,6,1,Outbound,1051,21
605,55,1,Inbound,2631,92
675,4,2,Inbound,7381,51
385,11,1,Inbound,4131,68
126,4,1,Outbound,2581,36
924,45,1,Outbound,2551,128
371,11,1,Outbound,4131,69
6,1,1,Outbound,1421,45
816,5,2,Inbound,7251,4
256,7,1,Inbound,1332,96
925,45,1,Outbound,2571,128
352,9,1,Inbound,1352,1
420,13,1,Inbound,4191,11
66,2,1,Outbound,1111,43
190,5,1,Inbound,1422,23
333,9,1,Outbound,2621,44
807,55,2,Inbound,7531,3
711,14,2,Inbound,7541,8
993,6,1,Outbound,2591,19
59,2,1,Outbound,1211,118
556,26,1,Outbound,1151,55
373,11,1,Inbound,3011,68
773,11,2,Outbound,7531,69
353,9,1,Inbound,2581,1
528,25,1,Outbound,1401,27
712,14,2,Inbound,6091,8
827,32,2,Outbound,7171,12
586,55,1,Inbound,1181,92
746,8,2,Outbound,8551,7
159,5,1,Outbound,1151,107
103,2,1,Inbound,1362,37
725,6,2,Inbound,7531,142
5,1,1,Outbound,1181,45
498,21,1,Inbound,1351,127
